Motion Sensor Data File Oct 15, 2024 2:32 PM
Time (s)	Velocity (cm/s)
16.210	19.307
16.220	19.350
16.230	23.607
16.240	23.177
16.250	24.037
16.260	26.660
16.270	26.187
16.280	27.047
16.290	28.767
16.300	27.477
16.310	27.520
16.320	28.767
16.330	27.477
16.340	27.907
16.350	24.940
16.360	24.467
16.370	25.327
16.380	21.887
16.390	20.210
16.400	20.597
16.410	17.157
16.420	15.007
16.430	14.190
16.440	11.137
16.450	8.987
16.460	7.267
16.470	4.730
16.480	2.537
16.490	-0.903
16.500	-2.623
16.510	-4.300
16.520	-7.783
16.530	-10.363
16.540	-10.750
16.550	-14.233
16.560	-16.813
16.570	-16.770
16.580	-20.683
16.590	-21.543
16.600	-21.930
16.610	-24.983
